TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
97.77282429,408.15,8,0.305903946,8,84.02282429,18.86363636,2
315.29,373.44,10,1.019586252,0.5,240,19.77272727,2
389.7217897,373.65,8,0.407871928,8,380.2842897,18.86363636,3
40,413.15,9,0.132546213,0.5,40,14.64,1
100,403.15,9,0.132546213,0.5,100,14.64,2
60,443.15,4,0.045708819,0.42,60,25.02272727,1
65.01851209,413.15,10,0.137136588,0.5,63.01851209,20.909,2
40.06707132,473.15,10,0,0.5,36.26707132,20.909,1
50,393.15,5,0,13.375,30,16.81818182,1
555.375,373.525,10,1.325462127,0.5,480,19.77272727,2
60,453.15,6,0,0.42,60,24.88636364,1
80,403.15,9,0.132546213,0.5,80,14.64,1
90.44560081,373.65,8,0.203935964,8,81.00810081,18.86363636,3
0,433.15,8,0,8,0,18.86363636,1
10.7402439,493.15,40,0,0.425,6,20.9,3
90,433.15,4.5,0.496912443,4,90,17.2386,1
0,493.15,40,0,5,0,23.78409091,1
495.375,373.525,10,1.325462127,0.5,420,19.77272727,2
99.75416717,438.15,8,0,5,79.75416717,17.84090909,2
60.60606061,523.15,8,0,8,0,19.886,1
13,433.15,20,0,1.625,12.30787037,18.6,1
70,433.15,8,0,2,40,19.48,2
80,443.15,10,0.865916206,0.178,50,19.77272727,3
34.8,453.15,5.666666667,0,2,19.8,19.31818182,2
100,463.15,6,0,0.42,100,24.88636364,1
60,388.15,10,1.019586252,0.5,30,19.77272727,2
34.29750429,388.15,8,0.305903946,8,23.04750429,18.86363636,3
153.6774194,433.15,6,0,5,149.6774194,15.1,2
10.25116,453.15,3,0.101307885,2.75,10,15.94375124,2
81.61428512,448.15,20,0.101958625,0.5,36.61428512,20.10227273,2
60,403.15,5,0.607847309,4,60,16.375,2
68.74121883,408.15,8,0.203935964,8,54.99121883,18.86363636,3
83.58759619,408.15,8,0.203935964,8,69.83759619,18.86363636,2
7.901785714,513.15,40,0,5,7.901785714,23.78409091,1
28.33862434,448.15,6,0,5,24.33862434,15.1,2
38.57142857,463.15,15,0,0.59,15,16.03409,2
58.49150142,448.15,20,0.101958625,0.5,13.49150142,16.99431818,1
63.7761194,425.15,6,0,5,59.7761194,15.1,1
45,413.15,5,0,13.375,15,16.81818182,1
14,458.15,10,0.076468969,1,2,18.75,3
35,426.15,4,0.555370432,20,30,19.33,2
1.003333333,463.15,5,0.0815669,0.38,0.67,22.38636364,2
130.6925346,373.65,8,0.101967982,8,121.2550346,18.86363636,3
10,473.15,20,0.5,7.9,10,18.75,2
51.10836331,440.15,6,0,5,28.92086331,15.02,1
100,423.15,10,0,2,95,12.386,1
190.3128848,373.65,8,0.101967982,8,180.8753848,18.86363636,3
125.3230717,388.15,8,0.407871928,8,114.0730717,18.86363636,3
180,373.15,10,0.20261577,0.5125,175,16.3,3
247,430.6045455,7.69,0,5,180,14.5,2
13.84043012,408.15,8,0.203935964,8,0.090430118,18.86363636,3
30.35011996,398.15,8,0.203935964,8,17.85011996,18.86363636,3
100.0904001,428.15,8,0,5,80.09040007,17.84090909,1
2.033333333,443.15,5,0.0815669,0.38,1.7,22.38636364,2
95.24366546,388.15,8,0.203935964,8,83.99366546,18.86363636,3
200.7142857,443.15,15,0,0.59,180,15,2
59.9200002,413.15,6,0,5,59.9200002,21.59090909,1
0,433.15,6,0,5,0,15.1,1
36.3359763,473.15,40,0,0.425,32.08191126,20.9,2
96.26228414,398.15,8,0.305903946,8,83.76228414,18.86363636,3
14.80345508,408.15,8,0.305903946,8,1.053455078,18.86363636,3
100,433.15,10,0,4,60,11.932,2
25.98216234,408.15,8,0.101967982,8,12.23216234,18.86363636,3
21.25,448.15,6,0,8,2.5,18.86363636,1
30,413.15,9,0.132546213,0.5,30,14.64,1
126.0281602,453.15,40,0,0.425,122.260274,20.9,2
20,463.15,8,8.51E-06,0.509,20,21.375,2
135,418.15,8,0,8,120,18.86363636,1
